trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
14,0.23384187355077715,0.19860272143011096,0.18216011181908087,0.17560468263500745,0.18354384539564425,0.22904195167305244,0.1889143567210614,0.17998274788568272,0.16133226909939863,0.14687254693900195,0.14481069396197668,0.14765790002462903,0.1543252200054858,0.1616688237790294,0.17135272053562853,0.18606492993421586,0.20203374223816367,0.17371767478065375,0.17449431311435237,0.1645579903572476,0.16835383230307,0.16969725843079958,0.17401439851725697,0.17640749725443994,0.18113191248957866,0.20143548129029126,0.22217637506882107,0.24377880027271365,0.2593503038224695
37,0.23384187355077715,0.18685633738988888,0.18059470329547822,0.17394134241485054,0.16847967040583398,0.16155354302288352,0.15612932349563957,0.15450842454830496,0.1577503666561096,0.15292487515238362,0.1526137517068765,0.15186894081687224,0.15287543271811774,0.15409486994277918,0.15381404835615523,0.15614682973399016,0.1573307910135572,0.16082399633619207,0.16294633509343867,0.16509520877851727,0.16944004014458755,0.16978299785953693,0.17542486540316365,0.17673504120486538,0.18259753625114974,0.20771479630333842,0.22699690132398195,0.24937276658895755,0.2626761495669735
102,0.22209548951055508,0.18529092886628623,0.17893136307532131,0.2136721953752648,0.18557797659855654,0.1783353133773991,0.1705337763566875,0.17001291782675984,0.16640465107152855,0.15712387223850263,0.162915532535725,0.16227134226413956,0.16261545139089545,0.16228925004111977,0.1613372783521263,0.16446521186477397,0.16516911647777305,0.17343314373572905,0.16348355351470834,0.16618141662003483,0.1695257795733249,0.1711934647454436,0.1757524093535891,0.17820066496643647,0.1888768512641969,0.2125353225584993,0.23259086764022585,0.2526986123334615,0.2626761495669735
161,0.21034910547033303,0.18372552034268355,0.17726802285516438,0.19860802038545453,0.2073099641358045,0.18362483504923027,0.17525826212118512,0.2178032593413799,0.20658837771354618,0.20179568152010968,0.19975838040661523,0.19567518693669012,0.19197174231583244,0.1895468726886975,0.18884224156874108,0.18602693593211445,0.18661135322511543,0.18604229113526605,0.16402077193597797,0.1672676244615524,0.16961151900206223,0.1726039316313503,0.17607995330401452,0.17966628872800755,0.19515616627724408,0.21735584881366019,0.23818483395646975,0.25602445807796553,0.2626761495669735
