trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
24,0.47070351300607516,0.48165483962372385,0.4518387722595073,0.44871208412164487,0.44679784862842664,0.4416148235895191,0.42919927909929095,0.4386403891042989,0.4366519840148755,0.4304697680954317,0.43968686186236977,0.43649851484363733,0.4489463336405902,0.4319039083183652,0.4502777476540141,0.4211762845707351,0.41762797684370184,0.4239697270274307,0.4368860572598209,0.44690899379754034,0.4537697728526142
43,0.47059180592007416,0.46053730016274047,0.449140069904179,0.44867778725285773,0.4388890261201988,0.427176918948596,0.4342736748074937,0.43261605935153674,0.43801382403051964,0.42855114272754047,0.4355909346931695,0.4237789173489315,0.43651259233720685,0.4302661938121321,0.4334352790823576,0.4414878765717832,0.4385033469048983,0.44685744889978657,0.4666704237257227,0.4790204843631765,0.4893580707803968
106,0.40501382506741257,0.39968634126620045,0.41809199027304966,0.3730748115383512,0.38782894105788307,0.42793995775116894,0.38459857722137947,0.3992697361625807,0.39721834874724893,0.394415094135995,0.37762334225411726,0.36759970530802094,0.40804872281408194,0.38025053636026945,0.3805531005686389,0.37587723672130896,0.378194283282719,0.3773173243280173,0.382686012666268,0.3825931769970491,0.3820978298585326
166,0.4433343323455682,0.4080915811087898,0.4012736908596087,0.3948985391281877,0.389875188665173,0.3820164236938434,0.4116194831628392,0.4179608600887281,0.4138440584213403,0.4170509779991824,0.4070609285488773,0.4082730194743056,0.4199763155662236,0.4152641420071418,0.400864692569687,0.3967526067825054,0.40108200515507486,0.4071016907939191,0.4147975032319042,0.41818147492483165,0.3820978298585326
