trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,0.6820295934144947,0.4205856418797009,0.29731580075266023,0.23477186602442954,0.17354470900325344,0.16360510622470478,0.16068416472307182,0.17028815653387885,0.17571410320809802,0.18687593330682659,0.2335024866503602,0.24306861398691376,0.3050467881225545,0.29944193840871086,0.3606083898635529,0.3735856168111833,0.41198922891837525,0.4478786587499861,0.48866766306108095,0.52477851132423,0.5670619734886634,0.6019967427621129,0.27325443406798394,0.2808110107284015,0.2908527370879091,0.29065804031822723
19,0.31733709408252725,0.302095961286138,0.2635371679753584,0.24865307080256135,0.23520385248093087,0.2278053017476974,0.22649893532128332,0.23733844472272497,0.2503035503293993,0.27310296068270723,0.2961638986110159,0.3287651600642753,0.369891343670518,0.2701365226169159,0.3035693111273567,0.3115833937233835,0.3338150480224755,0.35455974184879746,0.37850604096163587,0.4001807697689218,0.43008880136017935,0.4525492138284056,0.29337259487590656,0.3056866425961427,0.3196671612342828,0.31797913807709355
39,0.3097217519998214,0.2828301079110397,0.2764342737097627,0.25778180200874556,0.24684927385422603,0.24470958755838365,0.240519050121361,0.23804920785276149,0.23635472686551653,0.23741014072482658,0.23663649923344127,0.23760687622026141,0.2371875803723751,0.2408311068251209,0.24653023239116045,0.24958117063558372,0.2556408671265758,0.2612408249476088,0.26834441886219074,0.27558302821361363,0.2931156292316953,0.30310168489469835,0.31349075568382917,0.3305622744638839,0.34848158538065654,0.3453002358359598
99,0.2824598121469429,0.2724814583657927,0.2640223714165694,0.2583825541451144,0.2528000179902132,0.2502234527115255,0.24857054606884013,0.24687783594299237,0.2458514081411016,0.24458133701928098,0.24299389710571476,0.24244087198287165,0.24275645350208708,0.24325468244377269,0.2427919644708501,0.2425801889181573,0.24398681494048569,0.2468735947090303,0.24748611757401417,0.2523233324537546,0.25160940348140076,0.25313627326006133,0.25593537886066026,0.26203831294153535,0.26333694255936096,0.3453002358359598
