trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
1,0.23009984018899818,0.19731893238094544,0.18398355004099093,0.15579265456770947,0.15002520085733123,0.5028767277058028,0.14854578527763412,0.27606631485664346,0.4342629985981568,0.5235503069516987,0.12038530748778403,0.12701371365275774,0.1330678355818517,0.14374379940598744,0.16484291996058742
24,0.23009984018899818,0.18639196311159453,0.18318074568412304,0.14666329086223825,0.14582321838511195,0.11904968305407587,0.11684602939802767,0.11088318290983927,0.10745120954109523,0.1058742470336527,0.10759086798835017,0.12625270916522674,0.13824810781985006,0.14557569660136657,0.17126532774699438
89,0.21917287091964727,0.18558915875472665,0.17405138197865183,0.1584291658017698,0.13964011447016145,0.1246090193302328,0.11255969198235441,0.10582864243870167,0.10563634744890978,0.11172032973736873,0.11768279306431945,0.12707013625454006,0.1400800050152292,0.15199810438777353,0.17126532774699438
149,0.20824590165029636,0.1847863543978588,0.16492201827318065,0.15422718332955052,0.32125842108798214,0.1858358677069027,0.170627048778256,0.1553575349482501,0.1436961818003033,0.1331797469872179,0.12777471814028873,0.12788756334385337,0.14191190221060832,0.15842051217418046,0.17126532774699438
