trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
9,0.09532619675499952,0.09532619675499952,0.0851293404169707,0.08347577815259731,0.08991848582499486,0.11755058503106201,0.15202638958285708,0.13494009646195812,0.1463936466319842,0.14870362916931557,0.15267032952907778,0.1599819680720253,0.18663435711837645,0.19646740259162687,0.20764956194592876,0.22352398774557242,0.24131276272859414
29,0.09532619675499952,0.09277698267049232,0.10734427932945828,0.10445462396026434,0.09919985582084989,0.10149941769538512,0.1077281354793826,0.12264657734692296,0.14817446497294534,0.15217709751702863,0.159648403783039,0.1707947629249685,0.18914775678860882,0.19887052565801974,0.21083751855668684,0.22827324403463614,0.24545789393104125
54,0.09532619675499952,0.09022776858598511,0.20025534557892694,0.17937153705025372,0.16500096977547382,0.1535541069429022,0.14658518031076545,0.14450882917815824,0.1499552833139065,0.15565056586474166,0.16662647803700023,0.18160755777791174,0.1916611564588412,0.20127364872441258,0.2140254751674449,0.2330225003236999,0.24960302513348837
113,0.09532619675499952,0.0876785545014779,0.17172644168649606,0.16395139525893598,0.15788637630180824,0.15171800993692205,0.1472336155769933,0.14461282829102304,0.14523016082160253,0.14569225527511653,0.14916917321908207,0.1841209574481441,0.19406427952523403,0.20446160533517066,0.21877473145650866,0.237167631526147,0.24960302513348837
