trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,0.1219809639342795,0.1219809639342795,0.10114345351393274,0.09397690995575705,0.09746422070403984,0.12665697560907566,0.16259069552916375,0.2056765077449981,0.2398527841508248,0.26893815819837635,0.1621113270459817,0.18184141598473125,0.18931092207789846,0.19747178502637677,0.21801314356965235,0.24897788627532208,0.2694559514575395,0.2867649020192885,0.3015459582925092,0.31434804696354773
32,0.1219809639342795,0.11677158632919281,0.26117889275908523,0.19741749940759695,0.17177271803996308,0.1574825227286279,0.14482633903188905,0.14067690094679877,0.14737738566029696,0.15912630265397626,0.17752046912413547,0.1940029062119386,0.20267454400653653,0.21025578358742425,0.23628160288359926,0.2532099807392297,0.2748712750303094,0.2907294443489482,0.3051514629403629,0.31741357497127604
91,0.1219809639342795,0.11156220872410612,0.18255554179837383,0.16034702206754847,0.15305786963462295,0.1470172126711722,0.14408970706762117,0.1434089847873307,0.14479341485069666,0.14778052337030256,0.1575184355303165,0.16258367822062234,0.17190378790428185,0.1814762249417585,0.24051369734750686,0.2586253043119996,0.2788358173599691,0.2943349489968019,0.3082169909480912,0.31741357497127604
151,0.1219809639342795,0.10635283111901943,0.16178622457567934,0.15157444322839875,0.1481076235450799,0.14586570514761557,0.14420447973603195,0.1436120497537489,0.14346377790724518,0.1467021849678279,0.16967992575752386,0.1759473001492604,0.18468778646532932,0.1997446842557054,0.24474579181141448,0.26404062788476956,0.2828003596896288,0.29794045364465555,0.3112825189558195,0.31741357497127604
