trading_days_to_expiration,-1,0,1,2,3,4,5,6,7,8,9,10,11
17,0.3151401277430898,0.3071125203989601,0.3123584698047777,0.30415145086960765,0.3037891629840653,0.3114171777911288,0.30852106931629913,0.30965418446989706,0.3085631782303201,0.31762414275803424,0.3278701692738264,0.323954145265036,0.31556010799762696
41,0.3074914463059833,0.3071259681240191,0.3100201931834174,0.3047900574122973,0.3045898175884073,0.3086288417649158,0.30664412133549523,0.30314734259429266,0.2954617591456658,0.30092756751417027,0.30910302601921746,0.30622704591607985,0.30027696721708264
60,0.2998427648688768,0.3111284925704749,0.29358052055542505,0.28617840964308205,0.29146473653326127,0.2815274836135663,0.28989303645156983,0.2966405007186882,0.2823603400610115,0.2842309922703063,0.2903358827646085,0.2884999465671237,0.28499382643653837
123,0.2954449771719936,0.29149669616447943,0.28745746589075044,0.2733907504585531,0.2792277391495794,0.28401631077080375,0.28708198969082643,0.27940732452370454,0.2713523693270169,0.2769095808550533,0.2709355951039261,0.2733460035640591,0.2771760006590574
