trading_days_to_expiration,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10,0.3612439357027883,0.4038126429889929,0.3181760459617674,0.19263157873125009,0.2512624477342601,0.23492449460776887,0.21697347552357596,0.20287544526973614,0.19016021011442766,0.19135362504649106,0.19562752602983033,0.17416917477422467,0.17950794377434373,0.1754383846396199,0.17206661169549328,0.1742743395647406,0.17015933741357214,0.1727596061195696,0.17745843904600195,0.1770459206559137,0.18160063631233098,0.18779775274395624,0.18182819461932792,0.18181022386268886,0.20055840170135295,0.20911342815624617,0.23161068252973194,0.2460449629668158,0.2825784491056099,0.3194056990108651,0.35765099798275773,0.37005762170013423,0.43394459282355424,0.21735206565901027
34,0.37188611252433945,0.3824034937321865,0.2867899291541381,0.20728929598200257,0.2471779594526373,0.22621417629662072,0.21326747496607568,0.20239430793893054,0.195663311328816,0.23730085314201507,0.21457958786678175,0.20283123170689674,0.1973181420907476,0.18793682880475782,0.1847429007503434,0.1808625759711187,0.17986970305748737,0.1799114839308321,0.18281213523195308,0.1869909617243975,0.18485567622466376,0.18812940841786913,0.18575996430491942,0.1849024947212951,0.19582826936545256,0.19990195810522055,0.211856361485466,0.21985405110001904,0.23876010173978227,0.258220857923866,0.2793372653577395,0.28857211836827507,0.32367167816034,0.21932871673995258
74,0.38252828934589056,0.36099434447538015,0.2554038123465088,0.2219470132327551,0.24309347117101449,0.21750385798547253,0.20956147440857542,0.20191317060812494,0.20116641254320436,0.19250863795311784,0.18718480854832412,0.191364256557216,0.1915530774743158,0.18959840128646344,0.19004076291016717,0.18934199076046462,0.18871321285911083,0.18931823982104481,0.18849446851330937,0.18878360221988763,0.18811071613699656,0.18846106409178204,0.1896917339905109,0.18799476557990139,0.19109813702955217,0.19069048805419492,0.19210204044120008,0.19366313923322226,0.1949417543739546,0.19703601683686697,0.20102353273272122,0.2070866150364159,0.21339876349712572,0.22130536782089485
139,0.3931704661674417,0.3395851952185738,0.2240176955388794,0.2366047304835076,0.23900898288939168,0.21723866675452425,0.20621845983915577,0.1960366903612763,0.2218286192227864,0.2135159261132594,0.2182279692632309,0.21029259641922493,0.20439952680267642,0.2069485641449635,0.20468268094273862,0.20129848162358147,0.1999283445100822,0.19974217548853168,0.19904880760076069,0.19390387193409842,0.1879542344404764,0.18514462935555498,0.18575097892659986,0.19427658364062717,0.20010578259289918,0.21115058529196343,0.21907350170400794,0.2381207941694161,0.25717372669240984,0.27734350740981234,0.2855405772164277,0.32051560392998507,0.215375414578068,0.22130536782089485
