trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
7,0.49511287375118523,0.4040236727904244,0.39219169424590505,0.3108072526707785,0.24631697791055437,0.17877628225347492,0.17665973905787258,0.18203391153707726,0.1818696579701705,0.19097340671096433,0.20268378819322894,0.23276504348963956,0.2293344356839721,0.25899257862123776,0.2994879893745628,0.2478146426950246,0.2507970728082988
27,0.49511287375118523,0.25001646344302303,0.2777859136697822,0.2509882414653983,0.21521619507314216,0.2054537164360599,0.20578922024752377,0.20114523460836495,0.203068547738394,0.2089730671641371,0.2138274021818951,0.22243271140802057,0.23155806008471594,0.24423675541066575,0.2669429625054414,0.2432736309531884,0.2489505604222836
51,0.3101198253085997,0.28294112191640475,0.27026029207431396,0.252407670807201,0.2347359084610537,0.22444604061151363,0.22183965411203713,0.2191791002371532,0.2190825677842218,0.22258477971919055,0.22060033290567688,0.2226160944319593,0.2255562534824733,0.22948093220009377,0.23439793563632005,0.2387326192113522,0.24710404803626843
111,0.35707174904951205,0.36008127437355464,0.36215661386979625,0.3187222194817116,0.29585989311873845,0.2820946062741513,0.27566294693990007,0.2679455514694977,0.26412908429262616,0.261806065699496,0.25857032442252237,0.2542477547173724,0.25324763649710524,0.2513161801627142,0.2523556544368608,0.252643585194314,0.25322463996212285
