trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
11,0.21138767285908344,0.2130857464314175,0.20584226261382813,0.23198760266186225,0.23709011994695978,0.23305754554638267,0.23264278888233483,0.2223668123414704,0.2212727538046583,0.22204381426405376,0.2242648653318838,0.22828730885287496,0.2408914849843925,0.2696158085825943,0.3084376877907492,0.23840762831389414,0.2442337537083456,0.25170271959427953,0.2587357770461488,0.26817379267891156,0.2557681754817743,0.2628421283980731,0.2696235298979982,0.2790708696482951,0.2928356502758007,0.3102728425811054
29,0.21138767285908344,0.21393478321758452,0.2125068586747014,0.23209983377310384,0.23135903801592914,0.224921623435881,0.22810541168162546,0.22357141970626873,0.22273363601826,0.22417752607810054,0.22325987431470515,0.22685158358349658,0.22935778291386072,0.2479493031873039,0.26984081646954283,0.23471223492391574,0.23899048898723935,0.2462475548724021,0.25194368712944504,0.26040347859249785,0.25733568096961934,0.26481159936837745,0.2710447596776564,0.28237330974378533,0.2964156004940633,0.31541148851549516
53,0.21138767285908344,0.21478382000375157,0.2145815289876276,0.2158932790603173,0.2151696142008904,0.22145380933486086,0.21795783454732504,0.2170606259066004,0.22080810664496225,0.22133729437031383,0.22308595906279427,0.2220042221818499,0.22786674765517834,0.2262827977920135,0.23124394514833652,0.23101684153393734,0.2337472242661331,0.24079239015052464,0.24515159721274132,0.2526331645060841,0.25890318645746446,0.26678107033868176,0.27246598945731465,0.2856757498392756,0.29999555071232586,0.3205501344498849
117,0.2122367096452505,0.21031304130878986,0.1885910635249319,0.2033001991264731,0.20445188655271684,0.20859325279613397,0.2102867051691794,0.21338167031001376,0.2172703029041563,0.22063942929455418,0.2229329142119874,0.22447845149124157,0.2289801946251979,0.23432024358056902,0.24210302170387255,0.24947701842945186,0.257157884316157,0.2655278669628525,0.2759441067653253,0.2542006699939292,0.2608726574277688,0.26820230011834,0.2757684295528049,0.28925570005753815,0.3051341966467156,0.3205501344498849
