trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8,0.3013599717983754,0.28532143873103066,0.2735195194066677,0.2823510291905448,0.2628365366493868,0.2623370313903273,0.2607098172597022,0.25618459339501554,0.26619346490190027,0.2634387474736254,0.2761209623134161,0.2924354868627175,0.31460290970450333,0.3344853921731497,0.35297697662145683,0.3784578986628784,0.38469164430524294,0.4157596579794612,0.42870996077683193,0.469009023834729,0.4875063248729816,0.5089353037075448,0.52343730366075,0.5626392236604627,0.5622179515304659,0.6021871084672541,0.5942903150181437
31,0.29735033853153925,0.2567341000841118,0.2525325021745498,0.24249587122025962,0.23820177551379615,0.2315342597702453,0.22876623161276993,0.22534480168553567,0.2288743599827648,0.2409800252718855,0.2535716602324453,0.2757082770739543,0.2888928889994149,0.28133483720206737,0.29192232798022005,0.30291820135513886,0.30755046722774626,0.32275063526394215,0.33184393775380117,0.3524387667059301,0.3638680386786531,0.37446610189074453,0.3866782241285552,0.40834059695895586,0.4104183200373359,0.4387990287073566,0.5942903150181437
67,0.293340705264703,0.21556105146541307,0.22032436139302822,0.2212564273929106,0.2227016730362487,0.22898117628061626,0.22422877692702453,0.22298931272611477,0.22400625919301928,0.22608754266833223,0.2250676344191421,0.2253306632539174,0.22589452296426837,0.228184282230985,0.23086767933898328,0.22737850404739937,0.23040929015024963,0.22974161254842315,0.23497791473077034,0.2358685095771313,0.24022975248432452,0.23999690007394425,0.2499191445963603,0.25404197025744907,0.25861868854420594,0.2754109489474591,0.5942903150181437
136,0.28933107199786684,0.19173104400328608,0.20853042175638473,0.20701835750728323,0.20370617837726002,0.2035398779775634,0.20591730507142045,0.20665799149130773,0.2088248017760103,0.21100163595742072,0.2111386329585576,0.2124471240714194,0.21435865163775647,0.2905806294262209,0.3046627890009308,0.30603507417632114,0.3230844740648554,0.32922578666262753,0.35199346928274966,0.3616874172250565,0.3745825280959346,0.38171710186734714,0.40627918412841146,0.4081299608939575,0.43040289850573,0.4348506319828014,0.5942903150181437
