trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
17,0.15414934108557038,0.20719082765093563,0.26815735118427075,0.27533166116233304,0.25320031062375675,0.24803343286608429,0.24892517058140023,0.2521712916541315,0.252829729764522,0.2556441361514593,0.2554284434961307,0.260152800457279,0.26520721086793236,0.27501292538633115,0.24879246460277302,0.249210767648452,0.2546548601938637,0.25731371083694204,0.2619696062814551,0.2679111468644051,0.2736204422721632,0.2792511520961273,0.28538568265493147,0.291963092908511,0.31853250019650875,0.32105152863815234,0.3334637180865448,0.3545700172338461
41,0.15414934108557038,0.2602323142163009,0.25086129484455505,0.24644687419977168,0.24714218199434418,0.24175712102179991,0.24222470157829942,0.24144353903799243,0.243422262175645,0.24647041985078436,0.24432192686205675,0.24712257512738095,0.24914340937143437,0.2460233269523045,0.25224695869175356,0.2511448218939435,0.25636162908715365,0.25745191912682686,0.25994839090180616,0.26570358628889934,0.2689155255511916,0.2826963609444392,0.2862821232250956,0.2938567494696495,0.3267577504387952,0.3191494547046047,0.33823513921385817,0.3600149765738421
105,0.15414934108557038,0.214446908487272,0.24048926409440402,0.23742847376032372,0.2340528823966129,0.2358681391960162,0.23330918532917816,0.23237647802739028,0.23651939051137214,0.23761112357778877,0.23725916021323643,0.23868311535986825,0.24023234681663277,0.2418834764248119,0.24534265915746897,0.25124132240728375,0.25703729425717237,0.26601203704075294,0.27232626801541665,0.2830302757141065,0.2723607343995035,0.2835928015146033,0.2881757797862341,0.30208199971193594,0.32485567650524755,0.3239208758319181,0.3436800985538542,0.3600149765738421
165,0.15414934108557038,0.16866150275824307,0.1774921853352558,0.1763702398409678,0.18947779009103727,0.1931247077367973,0.19763555475518668,0.20108027864507758,0.20334007725830155,0.20819925961130842,0.2487059803352577,0.2519451631139003,0.25762263610148195,0.24533797051379244,0.24727671340296048,0.2529480913005737,0.2571755025470572,0.263990821661104,0.2701187074399109,0.2783253589931349,0.2758059432478154,0.2844892420847674,0.2900694363473726,0.3103072499542223,0.3229536025716999,0.3286922969592314,0.3491250578938502,0.3600149765738421
