trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
19,0.1326917226447315,0.1326917226447315,0.1326917226447315,0.1649170845765982,0.1951816549972522,0.19805166273551708,0.20239716120480863,0.20019748209285643,0.2016694431160869,0.20226999438044385,0.20634648111708845,0.21037894796020343,0.2146823269277046,0.22505486819605972,0.23376555213991282,0.2506884138406116,0.2256883070124538,0.2327076462447929,0.24285503963566235,0.2560500163139431,0.2711496001975416,0.2865521230822424,0.30594397225643344,0.3265823380097216
39,0.1326917226447315,0.1326917226447315,0.1326917226447315,0.17220993538950571,0.18370974635494766,0.1914297536237297,0.19253823095948225,0.19604679262066219,0.19595269312962282,0.19610277705796011,0.19904350242501065,0.20599723846060675,0.20995120580834906,0.21810054221842418,0.224132671564394,0.23649584694735568,0.22738082049163078,0.23452480238178547,0.2461115801941045,0.25939096409464124,0.27535844435864265,0.2900445403634918,0.3121474795622795,0.3306980135805196
63,0.1326917226447315,0.1326917226447315,0.15301691454012736,0.17148068297350985,0.17574660411681745,0.1817981106700547,0.18940799943282685,0.18857284064548205,0.1942307333742999,0.19598089642322106,0.1997418103942925,0.20161552896101004,0.20522008468899353,0.21114621624078864,0.2144997909888752,0.22230328005409977,0.22907333397080779,0.236341958518778,0.2493681207525467,0.26273191187533945,0.2795672885197437,0.2935369576447412,0.31835098686812563,0.3348136891513176
123,0.1326917226447315,0.1326917226447315,0.1589669995583628,0.10101303172240654,0.1255814558645387,0.1365891267566306,0.1474641936442051,0.15441791864314133,0.15968919402066534,0.16453228390912125,0.16789542345073571,0.17147381990585311,0.17310493137307825,0.17753802509628064,0.18174601778749433,0.22399579353327678,0.23089049010780033,0.2395984990772202,0.2527090685332449,0.2669407560364405,0.2830597058009931,0.2997404649505873,0.32246666243892363,0.3348136891513176
