trading_days_to_expiration,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
10,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.10999611814458468,0.1269910057173269,0.14790812505190776,0.1444060552562304,0.1581075790546472,0.15692619944156433,0.170686608291782,0.1727407725944025,0.1954557820731575,0.19184215234620774,0.22510174433922311,0.2275640985644786,0.2450540092522466
29,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.11487734784908538,0.14068131603538128,0.15155471120139716,0.1540355566130948,0.16514991225066167,0.1648518826401609,0.17130986910312174,0.1725247938654165,0.1815408169619715,0.18172828705618915,0.18645260987904322,0.1923553618632846,0.20590165176873146
64,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.11975857755358606,0.13807643367907801,0.14945408614900224,0.14849841677037237,0.16115688510300386,0.16011512918178789,0.1646014235872975,0.1665593365400184,0.17596268813432592,0.17605087234492903,0.18213568334555272,0.18321909009525014,0.1917289924922777
129,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.105114888440084,0.12326079417933161,0.13305027091111224,0.137819554344503,0.14498018215095707,0.14408461975782566,0.15268016503630863,0.15460019543671513,0.16059755989993688,0.15865083221531243,0.16271302601780455,0.1670909316252749,0.16918242456830543,0.1917289924922777
