trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,0.24026923704173525,0.234256767148108,0.2514332028999357,0.24335710858590992,0.2250487397074942,0.22058707450701515,0.21474251106454256,0.21253164299313704,0.2092093445003263,0.2121926113510052,0.21183151231494143,0.2142330247601924,0.2213295901248401,0.24781879498442838,0.21569216505295796,0.2211741543936602,0.22214868357251777,0.2291041135061242,0.23826635139719846,0.2473385587604909,0.24283704777908025,0.25315615556933824,0.2605442580490229,0.2807702436354894,0.2936639396104904,0.3171440914460746,0.3438109075241418
33,0.24026923704173525,0.23225261051689894,0.21931767732055824,0.21412531426619286,0.21072537795827276,0.212241776698155,0.2096237933694606,0.20851277678879107,0.20737646915665203,0.20908764585864612,0.20941722103107327,0.2119305947708619,0.2106192337112679,0.21312665140836012,0.21329499453630646,0.2171600811402727,0.2141369674958679,0.2198540812451305,0.22947031813627058,0.23783900098125538,0.2445030633783552,0.25604051963299923,0.26204550418769745,0.28701182345142007,0.29588131166351384,0.3242316847069282,0.35033731512987965
97,0.2382650804105262,0.20104139106361407,0.19851308811491172,0.20028495573416155,0.20289978851877605,0.20326903113919378,0.2026297691295155,0.2037031529968486,0.20660133413733844,0.2082976819859278,0.2108820628212429,0.2128912394686813,0.21616763458252106,0.220486506086261,0.22920230090043525,0.23817211572581748,0.24760417802811155,0.2558584179190542,0.266337674318962,0.23950501658053033,0.2473874274420162,0.25754176577167376,0.2682870840036281,0.2892291955044435,0.30296890492436745,0.33075809231266606,0.35033731512987965
157,0.2362609237793171,0.07774949162550716,0.12465678692726494,0.14083551525686633,0.15312763939743243,0.16095009360850396,0.16798301430731344,0.17354290931465946,0.17671039815437456,0.18094176021390293,0.21255754379071765,0.2171104147967607,0.23199321478347473,0.2180893355696095,0.22518822764704774,0.23016039964916762,0.23835414576711786,0.24706238465812635,0.25683811653972644,0.2411710321798053,0.25027179150567724,0.25904301191034834,0.27452866381955876,0.29144656755746695,0.310056498185221,0.3372844999184039,0.35033731512987965
