trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
18,0.13422807350007027,0.13664792982329443,0.1809979164009007,0.18541927578773051,0.17343117185740659,0.17537306716613588,0.1747301763095327,0.1721068237333974,0.17486106879585114,0.17498160716314687,0.174095203737833,0.18091923562688075,0.1819058620544249,0.1842017014744117,0.19452536020456915,0.21052497071922108,0.22463805256463953,0.24890639504329426,0.25581787365483366,0.28537236854102055,0.2958095516041424,0.30982204688584186,0.3323732941342072,0.3485366092034446,0.3518886292348805,0.37913664312580764,0.39575985896238997,0.3968932931614263,0.42245527070259214,0.4454100640328261
43,0.13422807350007027,0.13785785798490655,0.1393417028628745,0.16930193043241007,0.1737363474738939,0.1744502715353511,0.17760153334188475,0.1772509684256114,0.17821847814651312,0.1804406301837433,0.17786809559289365,0.18232908379643048,0.1852088132807872,0.18845327641200701,0.19606882417153368,0.20685858687504233,0.22006764515293553,0.2506342646961791,0.26320649737638036,0.287981664306801,0.2993126754245673,0.3154598586979332,0.3364141229015165,0.34937461421130356,0.3587006327076123,0.38329244708495325,0.39604321751214905,0.4032837875467178,0.4281939690351506,0.4454100640328261
87,0.13422807350007027,0.13906778614651863,0.1577199733336623,0.17159471638252505,0.1730493571792692,0.1762288414360696,0.17978418542981095,0.18066531510398395,0.1815253285290194,0.18363554803900717,0.18611335123397169,0.1837389319659802,0.1885117645071495,0.19270485134960233,0.1976122881384982,0.20319220303086358,0.2154972377412315,0.25236213434906396,0.2705951210979271,0.29059096007258145,0.30281579924499213,0.3210976705100245,0.3404549516688259,0.3502126192191626,0.3655126361803441,0.3874482510440988,0.39632657606190813,0.4096742819320092,0.43393266736770914,0.4454100640328261
147,0.13543800166168235,0.16003285127370967,0.10096893034713764,0.12638099283545415,0.13486871955279275,0.14318774909078064,0.15024120340936448,0.1541715208316543,0.15768682882381244,0.16156583465284277,0.16360007632684911,0.18282239701020256,0.1863567329907806,0.19361510577708574,0.20406862942885964,0.21391512779775157,0.2322018163922629,0.2540900040019488,0.27798374481947385,0.29320025583836196,0.30631892306541697,0.32673548232211586,0.34449578043613527,0.35105062422702155,0.37232463965307583,0.39160405500324436,0.3966099346116672,0.41606477631730066,0.43967136570026766,0.4454100640328261
