trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,0.21620610360852488,0.47811928752560473,0.617799789262825,0.5902130292162472,0.5666350455491919,0.5031726087076097,0.48465919630664417,0.4175723418393004,0.3013770049335736,0.2621152422920166,0.16479603800797227,0.18245031855585145,0.14023429205117438,0.14406445161145143,0.150760298426707,0.1795205804357898,0.22574020777189288,0.2039317902255716,0.2752739088220344,0.2979359111651969,0.3529116645249052,0.3716699764900854,0.42655181692906813,0.4418706459851977,0.4759085989077752,0.5074507122723573,0.5672080496101224
28,0.21620610360852488,0.35144492584185594,0.41185478057682656,0.2903925352741006,0.2829712317691983,0.2615412220233164,0.2575895380185181,0.2327714043393667,0.2025326672733661,0.18469446224796576,0.1740754763078873,0.1671219784487182,0.1607720079755923,0.15845670320373334,0.16132444931023787,0.1634755966132792,0.169982103830526,0.17968159779041754,0.1794960355813846,0.18968076874227263,0.19812241206787398,0.21212744978227052,0.23589011941491725,0.4503801342158421,0.48379412724892074,0.5223900466067986,0.5672080496101224
63,0.21620610360852488,0.22477056415810717,0.20590977189082812,0.2128891725177867,0.20572505628366058,0.20922450941208537,0.18818399886987147,0.18613121709896005,0.18798488281386766,0.1826653038127198,0.17956121177660384,0.1795364249060965,0.17899674514718447,0.17810080096759143,0.17878314495143025,0.17892851511215815,0.18025021132007008,0.1818153693590614,0.18335369366610843,0.1856761677441686,0.18679107850531748,0.1902458950932694,0.19128142740878729,0.45888962244648646,0.4916796555900662,0.5373293809412398,0.5672080496101224
122,0.3471626955670648,0.1716353653577576,0.1780981937952595,0.17131827083661347,0.17867789273785614,0.17175574213931152,0.18591884954726937,0.17454549270373607,0.18246301849193589,0.17871314074269695,0.17577341358495158,0.1772497150763423,0.17547834321389108,0.17602139782066384,0.17638726780441563,0.17717005656094864,0.17763301604608137,0.1763742490117923,0.17681629650927413,0.17652000140594998,0.17540406140018,0.17836262739949368,0.3165760366969925,0.4673991106771308,0.49956518393121174,0.5522687152756811,0.5672080496101224
