trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,0.8633027401937756,0.8633027401937756,0.8633027401937756,0.9168158282159267,0.6924933236717522,0.7002817475239304,0.5437436435826171,0.5761041709997758,0.42795916396281486,0.3686386518481,0.3058277952981652,0.26585440061404153,0.24944676408030372,0.2669234476408082,0.26716546885144976,0.2835333987958275,0.3029529571741826,0.30455933838278015,0.33557169127795494,0.3230091746846896,0.36360952534953367,0.4028478427001042,0.4410686591902392,0.44740688240150767,0.5144275145774444,0.5151991568199787,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838
30,0.8633027401937756,0.8633027401937756,0.8766810121993134,0.8607352020798831,0.6944404296347968,0.6611472215386021,0.36566573428993454,0.40642382173182573,0.1916659872664347,0.21612281901438754,0.23970296750559889,0.2546333374913656,0.26415373949243953,0.3031036086436229,0.303956570458705,0.30079572454605186,0.31401546785616413,0.3201247921335261,0.3372351186256879,0.33343030122196304,0.3556862010035484,0.37836560326967394,0.39841109240790684,0.46416204044549186,0.5146204251380779,0.54088269726288,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838
65,0.8633027401937756,0.8633027401937756,0.8900592842048511,0.8046545759438395,0.6963875355978413,0.6220126955532737,0.18758782499725205,0.23674347246387561,0.26341606179724025,0.2705874255209823,0.2824602268218553,0.2918986768839249,0.29921701601413786,0.3053154104714584,0.3124252951712684,0.3186191963745245,0.3250779785381457,0.3356902458842721,0.3388985459734209,0.34385142775923655,0.3477628766575632,0.3538833638392436,0.35575352562557455,0.480917198489476,0.5148133356987116,0.5665662377057813,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838
126,0.8633027401937756,0.8633027401937756,0.9034375562103889,0.7485739498077958,0.6983346415608858,0.5828781695679454,0.38184599799851393,0.21310581382288157,0.22764370139860654,0.25812413873703743,0.26630325816891764,0.27447962023238254,0.27880163668850405,0.2846312465578041,0.29218954291346905,0.30550219100238796,0.30523574886349003,0.3120170407859446,0.33095386032905527,0.3537304765543851,0.3753053596788337,0.39747601151474143,0.4015802040135411,0.4976723565334602,0.5150062462593452,0.5922497781486826,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838,0.6179333185915838
