trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
12,0.15232304216267892,0.15232304216267892,0.15232304216267892,0.15232304216267892,0.15180468989207424,0.12760409204109607,0.1374633854627279,0.14228434664277956,0.15164177671626117,0.16262878293206065,0.18009748733841416,0.20397766135332226,0.2126152236742486,0.1616844025381195
32,0.15232304216267892,0.15232304216267892,0.15232304216267892,0.13482663128935288,0.1462923599721854,0.143567822577159,0.14073508789418632,0.14483647786396567,0.14888716562646898,0.1546612938722968,0.1591302211761097,0.167940127010328,0.18836632470764433,0.16785234288775713
57,0.15232304216267892,0.15232304216267892,0.15232304216267892,0.11127598014583276,0.12744391830689536,0.08495446046096836,0.10827719436892956,0.12010584651132664,0.12850120939017795,0.13706352302350847,0.14438620407398353,0.15330969543857587,0.16411742574104007,0.17402028323739474
115,0.15232304216267892,0.15232304216267892,0.15232304216267892,0.08772532900231263,0.1085954766416053,0.11835252266658577,0.12591251705652648,0.13207104400148054,0.13702382755700462,0.14257571398422134,0.14639922496573227,0.15038025956891227,0.1555164621884819,0.17402028323739474
