trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
3,0.22279853170790406,0.26902306674556026,0.20029112934338755,0.1903925733429679,0.22815477985977628,0.3065525018688183,0.37963952398238704,0.43550121878523196,0.5705189634306564,0.6189227635739908,0.6275749667454662,0.22152230390554875,0.2355082757977368,0.3169181833385276,0.3353084758768332
23,0.22279853170790406,0.20707109674363117,0.19170363236205193,0.18159514385406494,0.18510983572981127,0.1988417235114092,0.21424664748154953,0.24153006653163647,0.26033320756166517,0.287050375884612,0.44782419790027794,0.25362583669643257,0.27023726855571384,0.32289414435094604,0.33852766113356764
41,0.16565766747383584,0.18255185620135794,0.1806644397758249,0.18003960312966633,0.18424535182123178,0.19086329395559165,0.19980411117032226,0.21318196908620568,0.23193120968289715,0.24949125867063277,0.26807342905508974,0.2857293694873164,0.3049662613136908,0.3288701053633645,0.341746846390302
101,0.21734036710969806,0.19142149277237275,0.10597288858843312,0.1318012501353205,0.14476725090879383,0.15248964449746288,0.1610843632101953,0.16787760335385438,0.17488960876093923,0.18080016094699083,0.18941877111466493,0.2007792830397598,0.31094222232610924,0.33208929062009884,0.341746846390302
