trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
10,0.14765541693156145,0.14960488729794658,0.22429242190037416,0.2129466306583015,0.1928892680072122,0.18853811959978325,0.185511881890802,0.19160637250749118,0.20277635950704515,0.21478427436490385,0.23439013268496725,0.25353229403695215,0.2746839488109635,0.3014195838880714,0.3065222358973767,0.22551399633378294,0.24188369039989163,0.26326416147152143,0.28248395342821037
30,0.14765541693156145,0.15155435766433167,0.20314425390999685,0.20462428998106325,0.19794799071957894,0.19523489534731203,0.19482244439874105,0.1917004253346021,0.19442128848505816,0.1942335531723181,0.1995062861708194,0.2089919979838777,0.23291915228889787,0.25108027697235913,0.26254830032705645,0.2289838121223063,0.2465987216444226,0.2692393657628054,0.28611864511527085
55,0.14765541693156145,0.15350382803071677,0.10487140357897196,0.13738244578361858,0.1477028344165683,0.15588146218412402,0.16159462742741756,0.16430830930806964,0.16884582395206035,0.1783734967249914,0.17910205447949346,0.18308644317066344,0.1911543557668323,0.20074097005664693,0.21857436475673622,0.23245362791082969,0.2513137528889536,0.27521457005408934,0.2897533368023314
109,0.14765541693156145,0.1554532983971019,0.16966929426735897,0.17401596147142584,0.17884040755214678,0.1834034053003641,0.18431125736354217,0.1884317963901688,0.19054160699765535,0.1925360162327033,0.19391614364709955,0.1953930657048502,0.19771905733449532,0.20264412211572266,0.2220441805452596,0.23716865915536067,0.25728895718023753,0.2788492617411499,0.2897533368023314
