trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
5,0.7962025792915973,0.7962025792915973,0.7962025792915973,0.7058919118532794,0.6155812444149615,0.5252705769766436,0.4349599095383257,0.17511748890698256,0.23999561416201154,0.20336517632425144,0.2221942082752649,0.21075558694058225,0.22298987781370316,0.23605302292881924,0.241696602392442,0.2566634724579844,0.25861768477485075,0.31142742008246593,0.32413687169213795,0.34361160414655073,0.4310226770052381,0.4543592871129705,0.4631015395001286,0.5008563329213132,0.5983925511506398,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945
29,0.7962025792915973,0.7962025792915973,0.7736249124320178,0.6833142449937,0.593003577555382,0.5026929101170641,0.34372673979497076,0.1889745775057042,0.24198974759635988,0.15472194749540313,0.2016143488791428,0.218674147529892,0.24037799285050404,0.25896224436052473,0.29007368484171386,0.2765817731758144,0.2874150786531637,0.3173644811559949,0.32546218703919927,0.33764499512434276,0.38163010035330946,0.39647530731738156,0.40005928167810745,0.5252403874786449,0.6110601884009661,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945
64,0.7962025792915973,0.7962025792915973,0.7510472455724384,0.6607365781341205,0.5704259106958025,0.48011524325748467,0.2524935700516158,0.20283166610442585,0.24398388103070826,0.2567757045500152,0.2675837028575102,0.27913372516090135,0.2832408977463205,0.29603363375740954,0.30254795810292073,0.310055949584426,0.3162124725314766,0.32330154222952384,0.3267875023862606,0.33167838610213485,0.3322375237013808,0.33859132752179255,0.3370170238560863,0.5496244420359765,0.6237278256512924,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945
125,0.7962025792915973,0.7962025792915973,0.7284695787128589,0.6381589112745409,0.5478482438362231,0.45753757639790515,0.16126040030826091,0.23800148072766317,0.25200840515309975,0.24616681920312455,0.25692259900421016,0.2576622256093937,0.27508754478164826,0.27747137725800003,0.2855975974923991,0.28946203797539544,0.29868148793015986,0.3237192069608309,0.33519955326640566,0.3813505315536865,0.39329840540717564,0.4008464335109606,0.41893667838869975,0.5740084965933081,0.6363954629016187,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945,0.649063100151945
