trading_days_to_expiration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,0.5391013546158029,0.5208784250574885,0.4837980767549254,0.5551431669232737,0.5761474338312474,0.6626723220858842,0.7081170286489485,0.7156025943793571,0.4407722884660068,0.4446692501225361,0.4557351564723578,0.44945073863984986,0.45954398919333017,0.46485088501167354,0.4624599679908355,0.47433359023349897,0.45130165142181256,0.5360508765466162,0.5498061126977749,0.5598629293786976,0.5667726243885749,0.6050209000719158,0.6810141474822885,0.5434452369626078
21,0.5391270431911804,0.5457106429642968,0.578906393390656,0.5704749580228375,0.5762451481291186,0.576394190654327,0.5515946022287354,0.5517439051758426,0.5532388572424212,0.5587645115170515,0.574485085533374,0.5606648126328133,0.5733170396244598,0.5784331716298426,0.5675448341258543,0.5893687326022934,0.5436245234897795,0.5839093344279591,0.6007658664517472,0.6129045860991567,0.609689394304128,0.6553219817728769,0.7618559578115353,0.5468532306319129
81,0.3328815522116674,0.35509372555399493,0.326686058497334,0.34995479191921985,0.3551665031494334,0.3497634612458068,0.3775177645289646,0.3853788499107223,0.39583917093393234,0.3956499466483142,0.40180462080054163,0.40593413271790935,0.41443550248541466,0.4195188063738786,0.4344132043894514,0.4300108732135489,0.4403339607839303,0.4478866051898303,0.4537796159377796,0.48093908455746864,0.5044187366699935,0.5193305268237949,0.5366292496239975,0.5502612243012182
140,0.2995942412718597,0.3022334024299234,0.3080587338593095,0.30659779952037924,0.29451373523483826,0.32497241798380805,0.3235773585794728,0.32830571968959243,0.3305739887280207,0.3369852274113416,0.33823666464688634,0.3457709387622005,0.35126859839350444,0.35737510185581667,0.3592984478647045,0.35897877935384553,0.48819241866527324,0.49884635894380264,0.5068212726582386,0.5238558544730217,0.5547198183709546,0.6001723371530416,0.5400372432933027,0.5502612243012182
