trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
14,0.20315126573340367,0.1785358580503168,0.3376237174937815,0.25170744882810514,0.22044221198124642,0.22314214251022343,0.21838469965852514,0.21500774402585873,0.21897625058166845,0.2195856264192568,0.22529681710580626,0.2341438922162364,0.24560334230199407,0.19859414647844228,0.20653544036771074,0.21150006379815292,0.2112605828040224,0.2161488153723877,0.21905401168301256,0.22514340014796835,0.22617119470158623,0.22865963565659206,0.23339340478943738,0.24146540784426973,0.2520702025323783,0.27796466914599266,0.289226994650493,0.2990912806981612
34,0.20315126573340367,0.17591584473365673,0.19516305699547956,0.19684004304423666,0.20399969179620805,0.1967624386997322,0.1988099883107194,0.20037342067009234,0.1993091448278422,0.20075887401336076,0.20152690678218993,0.20262731175940638,0.20559254376833064,0.20850533944840932,0.21164050752135677,0.21810547042546122,0.2171729987199106,0.22284899428294921,0.22693614939225507,0.23545662217983468,0.23420434175177585,0.23723365401948263,0.24276675024516292,0.25462580118959893,0.2672883109873054,0.28152345519888844,0.2917948411343612,0.3015234272194279
93,0.18377588468363693,0.18416258301457947,0.18960303875573903,0.1919788192011408,0.18601795552398973,0.1908267777433647,0.19238566963016715,0.19057516451219933,0.19472973758549672,0.1915960587920915,0.194724347371431,0.19397451968912727,0.1933751609886571,0.19632530606041865,0.19828925054353636,0.19943575097224603,0.20274845755126467,0.20328973626452757,0.20451695608423573,0.21010490060120698,0.21151159893081095,0.21464671387798626,0.21514462115361135,0.22163398562252412,0.27084709704020116,0.28409130168275665,0.2942269876556279,0.3015234272194279
156,0.18115587136697686,0.2608931502541805,0.22065524379192208,0.15525857501743018,0.1695440213062961,0.172661969429973,0.17643694893180312,0.17913599433720628,0.18080030369416186,0.18307234654215396,0.18541232456234358,0.18717656644147868,0.18868295350847525,0.20143037321406468,0.20489465717084465,0.20534816688813423,0.20944863646182618,0.21117187397377007,0.21483017811610206,0.2181380476513966,0.22008561729370152,0.2240200593337118,0.22830501449894056,0.2368520940774512,0.2744058830930969,0.28665914816662486,0.29665913417689455,0.3015234272194279
