trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2,0.19030180953674852,0.19030180953674852,0.13346753908456876,0.1555006375189414,0.1633272383600864,0.16317770338643184,0.18315593094112112,0.17814692285809816,0.24274705322792706,0.25791792365430205,0.3204652653803335,0.3928357727042658,0.39428546669918174,0.4626044353039125,0.4656525715954246,0.5300026708271796,0.5340600279876461,0.5953128436511945,0.6005628077971448,0.6600291325343438,0.6651430758681154,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701
22,0.19030180953674852,0.19030180953674852,0.18201041573382917,0.19176530312891468,0.1922975920020052,0.19776396372488866,0.20159239557022945,0.20399072161288873,0.21196793682579904,0.21262181281957887,0.21706590866850362,0.23044719455726276,0.23767472764166403,0.33799652454513485,0.34243649855833874,0.380669040449202,0.3896859893797391,0.42747183413334977,0.43794505665566874,0.47908370021980096,0.49331017091129276,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701
66,0.19030180953674852,0.15837652807685101,0.17411154745788357,0.17480165648808552,0.18391439857469669,0.1878680187155719,0.1881591265930728,0.19165709894274247,0.19347566675855518,0.1981984989747887,0.19802201045477,0.2016892985562327,0.21365469540334667,0.21338861378635715,0.2192204255212529,0.2313354100712245,0.24531195077183213,0.25963082461550496,0.27532730551419277,0.2981382679052581,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701
126,0.19030180953674852,0.08492466243530836,0.11923597190896812,0.13435688471816762,0.14460017036630238,0.15402342652970036,0.15771183584078702,0.16217548507357715,0.1651071936360604,0.16809803579723903,0.17007486760321103,0.17297443305201068,0.1752781693420892,0.33952059269089085,0.37461154817421627,0.3826977190294353,0.42031239721151337,0.4300968162063249,0.4676782190242683,0.48164067188668674,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701,0.3214772659544701
