trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
19,0.16851124393935016,0.16851124393935016,0.16851124393935016,0.18923770668518392,0.16938025924841657,0.17269003471389716,0.1776083112330238,0.19144317969542288,0.2145594617758546,0.24139139381287425,0.26512300004953937,0.2918061096529916,0.3199592440298636,0.2611129046151267,0.2848703115793593,0.30209034168258314,0.35530647273917926,0.36635120538716826
37,0.16851124393935016,0.16851124393935016,0.13247588020158,0.16007824119752073,0.16476653003244912,0.16686704206518918,0.16909137275894653,0.17985936658505733,0.19239233070086945,0.21092116463346183,0.23109332638393268,0.2540426562676554,0.2750132528848352,0.2906691855247212,0.3212630500331972,0.34001796620327307,0.3604026415844813,0.3683340599880639
97,0.16851124393935016,0.16851124393935016,0.4029185392708262,0.12468523532132003,0.08039022559731875,0.12115989041067024,0.13380203987788858,0.14880693164774306,0.1581245010759616,0.16788477800645335,0.17789355228943135,0.1901418784857793,0.20200034279593762,0.21208483467168357,0.2262350926412033,0.34511413504857513,0.36238549618537697,0.3683340599880639
156,0.16851124393935016,0.16851124393935016,0.6733611983400724,0.08929222944511934,0.11548222285268,0.1289783586361274,0.13973386190532527,0.14770642043423204,0.15405932749695053,0.21650388902799636,0.23484983097121148,0.25505056125782144,0.23155662370553215,0.24847757312552146,0.2641627171618932,0.3502103038938772,0.3643683507862726,0.3683340599880639
