trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,0.23674498927028362,0.23674498927028362,0.1750086675870181,0.18952659327472948,0.15926924783318602,0.1588690746313152,0.18988006152308357,0.24641860931290271,0.31436926220950673,0.3915975241441248,0.43254997588978367,0.5,0.5649984414842294,0.6287414822525913,0.21493654326584752,0.22267773187158302,0.23167024943366946,0.24559660592916643,0.3016601951645027,0.32682198605631785,0.35215453839089633
22,0.23674498927028362,0.23674498927028362,0.2269283479657862,0.22702126025055513,0.21679450809996875,0.215504732691143,0.21787267798944082,0.21531560662921803,0.2184137004087701,0.22239347798831485,0.2286417342477366,0.2459297851576541,0.24632701651707353,0.25860193437339335,0.22534478986514073,0.23728784103168343,0.2517830798869666,0.27019172222413845,0.3050968734871988,0.3359662031795293,0.35567659743497415
47,0.23674498927028362,0.16372481285297552,0.13881538009818023,0.15026272965925663,0.1644906940281079,0.17134343932963333,0.17660008071214198,0.18269519289294991,0.18856990345563301,0.19323561408955187,0.1993519533276772,0.20961679138917613,0.21703573223901274,0.22696611030996,0.2357530364644339,0.25189795019178385,0.27189591034026367,0.2947868385191104,0.308533551809895,0.3451104203027407,0.35919865647905197
101,0.23674498927028362,0.12308898720825003,0.1520319262989038,0.16196402578007613,0.1708973282869728,0.17559164852186365,0.1821131074135533,0.18668891228248494,0.19007974057730856,0.19319607403207364,0.1966684338682943,0.19907376726190681,0.20299096089378532,0.20452829666655434,0.2080676227114826,0.21155741898037234,0.22100148963419444,0.2982235168418066,0.3176777689331064,0.3486324793468185,0.35919865647905197
