trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
18,0.46520527763080366,0.3436751236306321,0.20552844306334003,0.23469132871972936,0.2135913176379872,0.3594269746200425,0.41451348527743676,0.4547539959116975,0.4573278541648407,0.489564673532202,0.5020908719612575,0.5163342108153784,0.5145406568400259,0.5372762711542037,0.5403137772675665,0.5235405200788128,0.5095897126707806,0.5122747634394952,0.5303078472519893,0.5473132372917485,0.5334426468593502,0.541865054265129,0.5503780445417452,0.5705573514664003,0.5746807838155458,0.5500803918005649,0.6227356193286028,0.6492226121843058,0.7024855773849303,0.7424679507354849,0.76047174695065,0.5694771161151989
38,0.46520527763080366,0.22214496963046051,0.22644517107570508,0.25499441393569944,0.24227582132571626,0.30989473028625847,0.35648334602665377,0.3816715677565681,0.41086010565098424,0.4418348763466843,0.45212874802548175,0.46370698454883696,0.46725754891267546,0.4763410306618098,0.4874061877004121,0.4823285367839404,0.4732600811788251,0.4811553663638899,0.4922666294247977,0.5034894855632194,0.5007516261885717,0.5046169240870162,0.5095083521969492,0.5226700053394795,0.5295418559539794,0.5255846754042526,0.562091470333115,0.5892725574397938,0.6161144667540303,0.6480038064010112,0.6649744315329245,0.5694771161151989
78,0.46520527763080366,0.10061481563028896,0.24736189908807013,0.27529749915166946,0.29399226552132657,0.3493461099477309,0.3427812761599308,0.35509825553098817,0.3643923571371278,0.3941050791611666,0.4021666240897061,0.4110797582822954,0.41997444098532505,0.41540579016941576,0.4344985981332577,0.441116553489068,0.4369304496868696,0.45003596928828465,0.45422541159760604,0.4596657338346903,0.4680606055177932,0.4673687939089033,0.46863865985215325,0.4747826592125586,0.48440292809241303,0.5010889590079403,0.5014473213376273,0.5293225026952818,0.5297433561231302,0.5535396620665374,0.5694771161151989,0.5694771161151989
137,0.46520527763080366,0.18461171505097498,0.21438824350375932,0.2486283540415507,0.2750145073108619,0.2865259095136873,0.29863240078046993,0.3143767759587392,0.3336797742810203,0.3290894753282646,0.3377039314767135,0.34274096099206564,0.3541884140006072,0.35790107980355385,0.3764032423430756,0.37099596608552776,0.3913254174975137,0.3804356056829022,0.3955446077632579,0.4000964259637871,0.4103386422198443,0.39648168766358644,0.4085476858493387,0.5247317215140521,0.517241659946489,0.5619122891682715,0.5753349667609665,0.6159040400401061,0.6361056534293075,0.6570057045085937,0.5694771161151989,0.5694771161151989
