trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
17,0.1625725633400902,0.1625725633400902,0.1625725633400902,0.2395140103406262,0.21612093528168325,0.232289816511854,0.2327569527371648,0.2386025135854141,0.24099617961362058,0.25028057551885047,0.25577625911894086,0.259144165100956,0.26687714570194804,0.2707182684235103,0.2818094226910081,0.2969260460332382,0.315219238012547,0.2549919921880328,0.26298439827464615,0.273164994242278,0.2864743302562853,0.30228975615211506,0.3184552062064542,0.33739126581490986,0.3595040775844192
37,0.1625725633400902,0.1625725633400902,0.1752125117747255,0.19958769429832646,0.21013649625753245,0.21659743672361964,0.21742444791867965,0.22191646155051575,0.22824671290953202,0.22240299326625435,0.22694651195099547,0.23059025960924218,0.23184560999153012,0.25288304729080946,0.26137678844337825,0.2721872592425465,0.283787585704095,0.25631002158422767,0.26566257192175796,0.2755771185789822,0.2907168739265848,0.30595492542973046,0.3228727619560084,0.3424417398695835,0.3655100094145003
61,0.1625725633400902,0.1625725633400902,0.10931787381377452,0.17209083142019896,0.17776013327790957,0.19807888589740413,0.20577293958437354,0.2104040070953876,0.2118492192015206,0.21802169364788324,0.22225605079972818,0.22212060177583717,0.23264195059723822,0.23504782615810857,0.24094415419574836,0.24744847245185483,0.25235593339564305,0.2576280509804225,0.2683407455688698,0.27798924291568633,0.29495941759688427,0.30962009470734586,0.32729031770556255,0.3474922139242571,0.3715159412445813
121,0.1625725633400902,0.1625725633400902,0.10934448489124489,0.13506430278771803,0.16364616029198578,0.16226953971282462,0.1707001266576638,0.18288481525540728,0.18306505540127352,0.187363844594393,0.19203363024874714,0.19614785458473083,0.19730729135377909,0.20126926235871914,0.20369263153340747,0.20813002143372342,0.2536739627918379,0.26030622462753433,0.2707528699055739,0.2822317865859858,0.29862458687449966,0.3140376504569,0.3323407917602362,0.35349814575433813,0.3715159412445813
