trading_days_to_expiration,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
23,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.12056253295607419,0.12257026929471847,0.13765580993683343,0.10263421058047488,0.1364869263746923,0.15484567755952414,0.16382490130310173,0.17149466241624023,0.17811841372454487,0.1858901497859081,0.19200747981541078,0.1984814290820487,0.20938550445950102,0.22873837559148275,0.26002273203154214,0.2883562164484009,0.33044319411120404,0.35153936086369253,0.37526140084187776
39,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.10998313442593932,0.1259834026480797,0.13017214621579593,0.1508715834066535,0.16339605443748317,0.17357446924162723,0.17795964203080322,0.18348747250439473,0.18400299325386843,0.1912378881555052,0.19447535777763664,0.19926386910423674,0.20639506583424533,0.21761180936615787,0.237421723817976,0.2988779608641017,0.33571723579932616,0.35746987085823884,0.37526140084187776
77,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.09940373589580447,0.1293965360014409,0.1483170259595347,0.164125555325559,0.1713209297829415,0.17674244597764407,0.17790066797933876,0.18656210068697826,0.18875986007370368,0.19366773888273836,0.1969432357398625,0.2000463091264248,0.20340462720898966,0.20648524314083297,0.21482071560440988,0.3093997052798025,0.3409912774874483,0.36340038085278514,0.37526140084187776
141,0.1417213300163439,0.1417213300163439,0.1417213300163439,0.13114193148620903,0.11915713594135724,0.14513947365787094,0.15796705444147693,0.16410056688551222,0.16703545034814793,0.171790042519091,0.17763297237646503,0.18087635206794048,0.18462749088802016,0.18821229775944434,0.18944703436837296,0.20471590679296292,0.2160715014002362,0.23325398758618754,0.2515884660264054,0.3199214496955033,0.3462653191755704,0.36933089084733145,0.37526140084187776
