trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,0.2642329435515926,0.2706397903401901,0.27184414843628046,0.3015297174608409,0.3455492599871211,0.3600136368728352,0.37953853938228965,0.4452919966807522,0.4651329308339103,0.41068177640725556,0.462210937726772,0.5531336927905113,0.60460275169625,0.6546910713806374,0.6817025595407828,0.3704634052428354,0.4185143430774474,0.42956539338102073,0.45212446661689215,0.46935063629327783,0.5240759905953039,0.5209308066737467,0.5420313510784299
22,0.2642329435515926,0.27277540593638927,0.2795469960941632,0.3078719373338525,0.3160774994678128,0.330588687200745,0.3518538999009977,0.3489383606924116,0.3668339634582359,0.38728832141686076,0.3957114004149449,0.3995330032377657,0.41759175970630363,0.41352211465228483,0.41785400176741416,0.4375730188143358,0.45610462692335035,0.4700344811611685,0.4942317670415139,0.5108731365615563,0.5873570639493394,0.5734818356160172,0.5981804861375121
82,0.2663685591477918,0.2589810525132182,0.24868402866013928,0.26840172167021215,0.2598955027543911,0.2734246865433993,0.2901304286926773,0.30255383901193605,0.29892239920248015,0.30229390965339675,0.32158808135043904,0.3265392357124741,0.33362418289706053,0.33492645872983007,0.34533522474482453,0.3433337753856414,0.3486272178207251,0.3679098657676487,0.3863056357567209,0.3975138438872328,0.4158287487892056,0.4297330809602657,0.44780217677417816
141,0.2685041747439909,0.24795674378780266,0.27329781100872835,0.27053386960873727,0.2710853725516638,0.2640648901566394,0.2739912118317877,0.27799583017221635,0.2826731049996925,0.286558416284717,0.2947048196793362,0.2978617131045847,0.3045774811306407,0.2974064921566154,0.3033537916713349,0.3809240592315444,0.3890963056008729,0.41001716619227047,0.42782813602499936,0.46079491724126836,0.46837977773147615,0.48588221601934783,0.44780217677417816
