trading_days_to_expiration,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.14730526750022876,0.21032610131458604,0.2783590907481168,0.2308748674339195,0.2692880298443964,0.2682361308630455,0.2758147190352836,0.28679877882523647,0.3068535512888078,0.32017027088131533,0.3217513679884201,0.32362171284334335,0.32454402878438227,0.33698643720131405,0.3678174725800244,0.37688498349585753,0.4098099180203871,0.45329876687072845,0.4585467287463174,0.5271330000620792,0.5621868101914143,0.6182905860286121,0.6721802231942867,0.6721802231942867,0.6721802231942867,0.6721802231942867
33,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.15797931990867642,0.231162465813317,0.2720497019428231,0.22557424915443197,0.23161778278513617,0.2500494918069282,0.26081087097476724,0.2727069927112936,0.28370097698570523,0.2920321157937508,0.29336507509084175,0.32814574272046704,0.3321476460741829,0.34099900660795546,0.36032365632993835,0.36744417306211896,0.3863106449413977,0.4096364018082699,0.47569329657525783,0.535896452594413,0.5762127541507137,0.6317629953200308,0.6721802231942867,0.6721802231942867,0.6721802231942867,0.6721802231942867
68,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.16865337231712407,0.251998830312048,0.2657403131375294,0.26784597573599067,0.28184750426473615,0.2874234858224149,0.2963613083080633,0.3007726801536705,0.31378265235841607,0.31582390158464424,0.32980736094616636,0.3326697725975908,0.3397512633639836,0.34501157601459687,0.35282984007985235,0.35800336262838034,0.36281137186240836,0.36597403674581125,0.4928398644041983,0.5446599051267467,0.5902386981100132,0.6452354046114495,0.6721802231942867,0.6721802231942867,0.6721802231942867,0.6721802231942867
129,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.12595716268333346,0.1366312150917811,0.18948973681585507,0.2651789605300824,0.2320248115781034,0.25515741143737486,0.25604856343027027,0.27942529036401614,0.2820480259335616,0.2900859646608374,0.29592455197581824,0.30653135726478487,0.3097628540779131,0.31744319902105667,0.3255568878124068,0.35641452429731063,0.3648574117878549,0.3839066403243837,0.40805506936656843,0.41226038274606436,0.5099864322331388,0.5534233576590805,0.6042646420693126,0.658707813902868,0.6721802231942867,0.6721802231942867,0.6721802231942867,0.6721802231942867
