trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
15,0.3045345014935971,0.3045345014935971,0.21081767178076197,0.18125622492719848,0.16388626174501822,0.1539420011464158,0.15772853788869243,0.1760660585964418,0.19689335208663047,0.22330585206042222,0.25600744487248533,0.2851786900221882,0.3072090903527857,0.22938696152902058,0.24420159625697407,0.2589380916490983
35,0.3045345014935971,0.15022363976371894,0.15015478166784207,0.13676810716186194,0.1544059687442215,0.15692482763723548,0.15840250669134243,0.16102294585011617,0.16876751588248537,0.17792030511542062,0.19447453040465837,0.2474127220629152,0.2641352210218051,0.23354976644811865,0.24744610870185277,0.2630618269002818
53,0.3045345014935971,0.1704216504360666,0.16052192942096088,0.13961672098281938,0.14235008430729962,0.1529387262043353,0.16293334933491882,0.16755854120671618,0.17554090927908725,0.1839478067607889,0.19549877511787117,0.20964675410364217,0.22106135169082447,0.23771257136721669,0.25069062114673146,0.2671855621514652
113,0.3045345014935971,0.1906196611084143,0.17088907717407967,0.08492852495541044,0.11303391995280695,0.12804117986930938,0.14019410539456453,0.14773255072611954,0.15586072860139813,0.1629848895463527,0.1694756220908991,0.1791063342220671,0.2252241566099225,0.24095708381209538,0.2548143563979149,0.2671855621514652
