trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.25389372007806615,0.2691880588727166,0.5471547516967151,0.2259589629298832,0.22541962464958784,0.20720611803092953,0.024143367234475924,0.14520187466712564,0.2507683876729853,0.3496718481468216,0.4438075189717082,0.5343986613279108,0.6219777965150338,0.23332677504343521,0.23687711951524376,0.24369736654964175,0.25032273753445966,0.25745046600859217,0.26473205781317577,0.2747198333258032,0.2640467842438053,0.2707855058126204,0.2777681307552682,0.2936821663410989,0.30643233679600046,0.31377660903954074,0.3320071552904833
19,0.25389372007806615,0.2768352282700418,0.2492527611492206,0.2394969914979049,0.23695995008181323,0.23274764604785572,0.23094378295735746,0.2303346710245331,0.22949896114659318,0.2273193158374866,0.2293859372028392,0.229455722913871,0.23240499119882313,0.23531646542983553,0.2375680631776112,0.243058910520294,0.2466246488143864,0.25250156885972214,0.25829601334791125,0.26755287391918275,0.26587721910942674,0.2723244317314064,0.279720517307806,0.29968679758147637,0.3068027907830737,0.3170782911742376,0.3378207462812577
43,0.25389372007806615,0.24516933604203917,0.23680562641756336,0.23591898862383034,0.2347020818314573,0.2337123798579946,0.22916686853817936,0.23061696166741605,0.23360721594241496,0.23262608459790543,0.2328938492178173,0.23378935055996125,0.2332399084392532,0.23730615581623582,0.23825900683997867,0.2424204544909462,0.2429265600943131,0.2475526717108521,0.25185996888264667,0.2603859145125623,0.26770765397504825,0.2738633576501925,0.2816729038603438,0.3056914288218539,0.30717324477014696,0.3203799733089345,0.34363433727203213
107,0.2615408894753914,0.20178854010587646,0.2124209343618615,0.21387929921736246,0.2119748193816196,0.21256611892908395,0.21854239832655226,0.2200132904039941,0.22075762507748192,0.22294388189049677,0.2274793579196732,0.22743785211381176,0.23133708465703492,0.2361861758528763,0.24433582257898953,0.254020826254533,0.2623993631574622,0.27116810227844035,0.2818867927324236,0.26221634937818383,0.2692465798938343,0.2758157442027303,0.28767753510072136,0.30606188280892715,0.31047492690484385,0.3261935642997089,0.34363433727203213
