trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
7,0.14351854571307782,0.14351854571307782,0.14351854571307782,0.14312003187481495,0.15539235076635027,0.16384389132336108,0.16718478475006393,0.1682984605950985,0.17052380674523498,0.14003281032954373,0.13405970770067713,0.15285931008265208,0.15880949923619161,0.1646063455067867,0.16621621542950535,0.17598468111328813,0.19639893742907386,0.21218526882388936,0.20821158107030943,0.24681884117462258,0.23254484185187435,0.27427776057467196,0.30041095930297745,0.18503392790584633,0.18783545463507567,0.1911180474907521
27,0.14351854571307782,0.14351854571307782,0.14351854571307782,0.1432554986062663,0.15732254028145093,0.16299455392254691,0.1686001780759534,0.16796742202378212,0.17164402834320108,0.14201387243269473,0.16026454385709613,0.1645861813249064,0.1645844564927082,0.16128215025119444,0.16048609664040742,0.16272293443643987,0.1878868746203491,0.19576973586063828,0.1956038671300822,0.21341566828444708,0.20988072408323677,0.23097770876766666,0.24587965032655393,0.18841735310504584,0.1938986632512838,0.20035273356654387
47,0.14351854571307782,0.14351854571307782,0.14351854571307782,0.14339096533771767,0.15925272979655156,0.16214521652173272,0.1700155714018429,0.16763638345246573,0.1727642499411672,0.17373841768763446,0.17396767686003928,0.1748462224088737,0.1740789039842797,0.17496748080461,0.17406472852895272,0.17648495048316312,0.1793748118116243,0.1793542028973872,0.18299615318985502,0.1800124953942716,0.18721660631459916,0.18767765696066135,0.1913483413501304,0.19180077830424536,0.19996187186749195,0.20958741964233568
107,0.14351854571307782,0.14351854571307782,0.14298456514336358,0.15346216125124965,0.16469322872417527,0.16576939142417443,0.1686294991664149,0.16940358514726886,0.17299591753378227,0.17342673713604845,0.17502711255220843,0.17493619488618822,0.17456598164628803,0.17651183675076002,0.17701431230843642,0.1781205389611084,0.1794606640774276,0.1786035662027597,0.18078554190134993,0.17929634927843205,0.18155517343081545,0.1809631545072713,0.18165050270664682,0.18177224601886752,0.18188336141496028,0.20958741964233568
