trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.11396347479090448,0.11289023420305135,0.6103414181476065,0.1508875486074505,0.10504078071654877,0.0747029038122839,0.19270892673572543,0.29981766057329645,0.40102281809268747,0.49782766881734936,0.590970052646487,0.20197610374026592,0.21248128273941252,0.21945986906260365,0.23424007351299175,0.27265196682388265,0.2948284268430006,0.3159105890172289,0.34966199733191294
26,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.13924551093562065,0.11711784104704596,0.3795048006524003,0.1539204873625574,0.10795336384868284,0.13772320581916456,0.1518107417702873,0.16330057606391848,0.17077274261015923,0.1787699414718865,0.19448396208858687,0.20491353337956122,0.21931175652013835,0.22768025424699584,0.24577615173154518,0.2816105718546618,0.2992343785057802,0.3214693258543785,0.35905955449109106
80,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.08519482678689949,0.12134544789104057,0.1486681831571941,0.15695342611766427,0.1655490378468031,0.1724430673222981,0.17824791869163245,0.18205125500222546,0.18670015741006285,0.19120039501148922,0.19610124446167532,0.1988203351779609,0.20301909869381926,0.21116791707588492,0.2547347567623243,0.28601652351744145,0.3047931153429298,0.3308668830135566,0.35905955449109106
144,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.0886814386461883,0.10866262735905674,0.1372883285817638,0.1478546098523436,0.15499756758552063,0.1603090133586479,0.16931733905669025,0.17136552513391698,0.17630713091422137,0.17931483848942004,0.18108320104275033,0.19903867410097062,0.20565080895868673,0.21123948387821145,0.22270399529443835,0.2636933617931035,0.290422475180221,0.3103518521800793,0.3402644401727348,0.35905955449109106
