trading_days_to_expiration,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.143892707305593,0.15906639151334695,0.1609934225056976,0.19574037952230422,0.21190717854628208,0.13025201479534612,0.25610820596867384,0.3725375124453662,0.23214399503041006,0.23469694593474572,0.2428356186082963,0.24321088317282352,0.24398355006293745,0.2495054827702715,0.2528586600396265,0.2570932641239508,0.2626606413844647,0.30783129631041284,0.31763178067342024,0.33217454890709924,0.34876756888380367,0.3717131688995126,0.3951078824256312,0.4207446084375007,0.4462881052923892
21,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1467549334428931,0.1656533973092006,0.1431594361104873,0.19392922986344174,0.21777122462236764,0.22897113541099098,0.23899350869603223,0.24080843907203167,0.23567157429615457,0.2402315197379022,0.24731533997031746,0.2502813677459922,0.2542972048054085,0.26427814076102224,0.26837835733773674,0.27492092913502114,0.28290043385063934,0.3101768313072123,0.32018648785812454,0.3368912258392345,0.3523474019400206,0.3796061358511501,0.398912272237053,0.4297585816320137,0.45004588052532046
41,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1496171595801932,0.17224040310505426,0.14407957661367754,0.17937608140756767,0.20308509296797916,0.2119188389513083,0.22311590816114654,0.22869057538154913,0.23919915356189908,0.24576609354105866,0.25179506133233864,0.25735185231916086,0.26461085954787955,0.27905079875177297,0.28389805463584705,0.2927485941460915,0.303140226316814,0.31252236630401176,0.3227411950428288,0.3416079027713697,0.3559272349962376,0.38749910280278765,0.4027166620484748,0.43877255482652666,0.45380365575825177
100,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1410304811682929,0.1524793857174933,0.1788274089009079,0.1975515291811667,0.2060431324701965,0.21182440022999802,0.21345052154999844,0.2216072781697298,0.22861641576466554,0.22916237213158924,0.23835589724627512,0.23614039859965485,0.2336698953204664,0.23473282477952076,0.2373389627415162,0.23926559911288042,0.24242084891829005,0.30548576131361344,0.315077073488716,0.327457871974964,0.34518773582758666,0.3638202019478751,0.39130349261420944,0.41173063524298775,0.44253033005945797,0.45380365575825177
