trading_days_to_expiration,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
18,0.12476869257421859,0.12476869257421859,0.13728166846218356,0.1325013945028364,0.14112831413534885,0.13892789222200094,0.1282422596473783,0.13819487014869436,0.137924939239172,0.1464191998678893,0.14475418716863664,0.1450934948625866,0.14863253107410287,0.15009997114681084,0.1516551701281748,0.1522081681764302,0.16632488698794543,0.16647107471492278,0.17900445968898496,0.17968227184106358,0.19285956388244946,0.1934696146523321,0.2011010797622563,0.21184698350288844,0.17664023489341688,0.20007784725663352,0.2091382855866808,0.2179725864435513,0.2263243377959454
37,0.12476869257421859,0.12476869257421859,0.14979464435014855,0.1461160906199373,0.14743601816954122,0.14582213733206206,0.17207421101095707,0.16884103633151865,0.16436019571655694,0.1590043449895026,0.15815999364649505,0.1595782607792705,0.16139786900718223,0.16284520504854916,0.1679732060878178,0.1726118939008283,0.16604297125343798,0.16715693746251373,0.17509830862113063,0.17677012691521318,0.18759733333467166,0.1864707005466651,0.1932641674215388,0.19956594753992815,0.18598258732127812,0.20245430101038056,0.2112920509979574,0.22023597146070997,0.22823682845498378
57,0.12476869257421859,0.12476869257421859,0.16230762023811351,0.15973078673703822,0.15374372220373356,0.1527163824421232,0.15882472843408074,0.1597982895393964,0.15539488101079496,0.15578802531928115,0.1583763458967677,0.15741739384987602,0.1605349265838016,0.159951431606096,0.16245623796894407,0.1636885405246177,0.16576105551893053,0.16784280021010467,0.1711921575532763,0.17385798198936278,0.18233510278689385,0.17947178644099812,0.1854272550808213,0.18728491157696786,0.1953249397491394,0.20483075476412763,0.21344581640923396,0.22249935647786864,0.23014931911402214
116,0.12476869257421859,0.12476869257421859,0.1188866983857355,0.1348206101011565,0.14080233726022573,0.14321443605990736,0.15971813263614223,0.14644845304447113,0.14762472313970165,0.14700235384206986,0.15014285894451057,0.1507496307488224,0.1516680620782612,0.15263380487629952,0.15285246192253932,0.15315482109515732,0.1567898283730321,0.1577633287541483,0.15749071500874187,0.16025273162945605,0.1603537106612263,0.16329494912745626,0.16444297933191818,0.1672978824655556,0.19770139350288646,0.2069845201754042,0.21570920142639263,0.224411847136907,0.23014931911402214
