trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,0.20644037319990727,0.3735273654415621,0.41233511467419665,0.3234293938594321,0.2840085936557837,0.26429089305304077,0.24662508675025735,0.2194173326023035,0.2094690021135642,0.20056717786888326,0.1937884226511902,0.18964564107281104,0.2086607869837653,0.24599690588290166,0.2951560543669368,0.3209832711529027,0.3689843417412021,0.20804358676590223,0.21274403792142946,0.2152940128424167,0.21779476027392236,0.22151557339587977,0.22595190556705094,0.23177784250810857,0.23950514000091577,0.24986138821001735,0.261043026547545,0.2673077490817475,0.2816065278020736
28,0.20644037319990727,0.3179355891858995,0.327895750588774,0.20444129060516297,0.2584992035121772,0.21862165725560492,0.2125325431763833,0.20364049186901154,0.20347431834490787,0.20208374495815226,0.19590105189098378,0.19458782314705395,0.19250491947502843,0.2030943988710284,0.2514860051685766,0.2639561601182028,0.2869454059576239,0.2096121450618305,0.2135257052032648,0.21578733302107497,0.21855181381101693,0.22261892641976389,0.22706671862875238,0.23357599791693595,0.24157063333849202,0.2529740189769919,0.26352121494933434,0.2679619219470594,0.2881017442969247
47,0.20644037319990727,0.2623438129302368,0.24345638650335139,0.25755318418038525,0.21986408402647462,0.21124000202042406,0.20904685383001662,0.2096016991814789,0.20951298812426522,0.20707114858090003,0.20771275615163384,0.20659159383007458,0.20540392526574094,0.2047139448276123,0.20781595597021643,0.20692904908350288,0.20490647017404573,0.21118070335775876,0.21430737248510015,0.21628065319973325,0.2193088673481115,0.22372227944364803,0.22818153169045385,0.2353741533257633,0.24363612667606827,0.25608664974396644,0.2659994033511236,0.26861609481237136,0.29459696079177583
116,0.1789738628560505,0.1825306560836851,0.20610048459742317,0.1813125390296851,0.18471081256007982,0.18813084929922436,0.1917973681656437,0.1948020731466641,0.19451294346406844,0.1970747480385795,0.196826666027837,0.19758860918488336,0.1969277066421416,0.1990485343154591,0.199294085925032,0.20269054972762948,0.20647502846997398,0.2119623706395941,0.21480069266375842,0.21703770673682782,0.22041222037199565,0.2248370925053495,0.2299796870992812,0.23743964666333955,0.2467487574430428,0.2585648381457557,0.26665357621643554,0.2751113113072225,0.29459696079177583
