trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
4,0.18022729359383238,0.18022729359383238,0.2688792013034839,0.23254462898989517,0.1921557139872959,0.21064415820382526,0.26681767012198365,0.3311784191909798,0.3962819839396261,0.4315806369344599,0.502940861830631,0.5713525296367343,0.5983553878555196,0.3317475495302784,0.3473892091265127,0.41640198650329996,0.44022648035259004,0.45536510007458686
22,0.18022729359383238,0.18022729359383238,0.2039818025203477,0.18785640348241958,0.18748042231770784,0.19209654989004094,0.19945999676264645,0.21475765345778733,0.23845266917201952,0.26576803179406056,0.2972800911311273,0.3296950653297315,0.35460932178492155,0.38306560983941723,0.39959515774752136,0.4220042627552262,0.44630055288504467,0.4583866158044343
82,0.18022729359383238,0.20977792949704957,0.07433937630767815,0.1242928363057204,0.13972845524320807,0.15312411848558247,0.1631066446086473,0.17380903528815184,0.1838316753002812,0.18927293207358917,0.20546345461484405,0.21570383214510194,0.22911142891200084,0.24297731188449545,0.4051974339994476,0.4280783352876808,0.4493220686148921,0.4583866158044343
141,0.18022729359383238,0.23932856540026673,0.06244824417267766,0.11058268171427034,0.13041129845065583,0.1424433248511235,0.15084363291002048,0.15871556771506973,0.16548166174334403,0.17112297481640562,0.3884079921257892,0.4070296100003108,0.28042948922113964,0.2951832605055041,0.41079971025137374,0.4341524078201354,0.4523435843447395,0.4583866158044343
