trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
13,0.13665630143716012,0.29270464921128353,0.21651467211087677,0.14032469501047,0.20551479068489395,0.22149558281373385,0.22546605861956437,0.23252543820487626,0.2353016391852331,0.23676537246856103,0.24175340676018559,0.22839961692264918,0.25643081312624033,0.2595900452247175,0.26489509183690696,0.2721514967297167,0.27606395259957994,0.28084935969738195
32,0.13665630143716012,0.2736571549361818,0.19746717783577508,0.12653477154537074,0.12741260639003874,0.183518862323368,0.19692218820534513,0.21305261992201377,0.22073160097185168,0.2275620731251447,0.22754735675538493,0.24160666559180363,0.25723936255888147,0.26036111184131494,0.2667765485264042,0.27389824248662437,0.2762734347776039,0.283032581068259
50,0.13665630143716012,0.25460966066108015,0.1784196835606734,0.11274484808027146,0.17854955578655984,0.20210813365203648,0.21866611792419116,0.2300648423722834,0.23875606484461886,0.24466841925037844,0.2506636157262525,0.2548137142609581,0.25804791199152255,0.2611321784579124,0.26865800521590144,0.275644988243532,0.2764829169556279,0.285215802439136
118,0.13665630143716012,0.23556216638597846,0.1593721892855717,0.09045305078914115,0.14336651554324298,0.15692381623457,0.17652154717674423,0.1911815467376653,0.2013047572901352,0.20388156736175847,0.2151925682534947,0.2556222636935992,0.25881897860812003,0.26301363514740966,0.2704047509728091,0.275854470421556,0.2786661383265049,0.285215802439136
