trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16,0.23229043099463872,0.23229043099463872,0.26094657057872334,0.26088889524674863,0.256159940666041,0.25462234951174295,0.25570011094691364,0.25469955883902456,0.2558093235956682,0.2635299586592478,0.2681867602352248,0.2782184546563026,0.2829681792024752,0.29542040498494043,0.30729993528817906,0.3382800979879169,0.23199611267915163,0.27197516771913577,0.28148548196637624,0.29498059096117957,0.31147660670482297,0.3293670019565901,0.35304410718420354,0.37450514149991376
36,0.23229043099463872,0.21874836585016985,0.22919006336792352,0.23040544114613776,0.23072804514230283,0.23295043041511315,0.23206330685677717,0.23536672780815737,0.2353331375000093,0.23551301171821476,0.24025805033397457,0.24132573492880677,0.2634361987821346,0.2713269630310098,0.28213627888033016,0.3001518791740133,0.24989312818269485,0.27406767973558466,0.2841481270735476,0.29906550035140994,0.3156397051864143,0.33414910110088225,0.36010056065371804,0.3781792051882544
60,0.23229043099463872,0.19300426663896658,0.20298205945990555,0.21001466168484256,0.21260001348623575,0.2177579920512124,0.2190729242263973,0.2239085227458862,0.22662139799272746,0.23218282684963854,0.23456492544262425,0.23990085211500592,0.24390421836179396,0.2472335210770791,0.25697262247248126,0.26202366036010977,0.26779014368623805,0.2761601917520335,0.28681077218071893,0.30315040974164026,0.3198028036680057,0.3389312002451744,0.3671570141232326,0.381853268876595
120,0.23229043099463872,0.09398312699429134,0.1370218337407503,0.1505608154270486,0.16287428050383498,0.17251305653314356,0.17827828492092768,0.18556543806895062,0.18898086038819076,0.19466180408164913,0.200291393125114,0.20209774710371525,0.2046440874777179,0.20735172922902464,0.2110227834424653,0.21409909717560843,0.2698826557026869,0.27882283685920484,0.29089568157094925,0.3073135082232316,0.32458490281229785,0.345987653714689,0.3708310778115732,0.381853268876595
