trading_days_to_expiration,strike_price_order,0
21,-4,0.2577732811550147
21,-3,0.22748945943308058
21,1,0.16290436440836525
21,2,0.16481132487288347
21,3,0.17924644813837268
21,9,0.33494104554901577
21,5,0.22388237393685428
21,6,0.2576724525340687
21,7,0.2865302019076669
21,8,0.30658929549306035
21,4,0.19177876995588858
21,0,0.17213611011011543
21,-1,0.1872280414948973
21,-2,0.20476236324932792
36,2,0.18002857130554825
36,-3,0.2336406834251621
36,-2,0.2184509544148758
36,-1,0.20331139134547893
36,0,0.1933281853115421
36,1,0.1843902808171196
81,-2,0.32546696422847504
81,0,0.2863552264487464
81,-1,0.3036165409584684
81,1,0.2705856320222788
81,8,0.21301880589181585
81,7,0.2128287459864019
81,2,0.2546766176829216
81,3,0.24199398861067958
81,5,0.2216911237512552
81,6,0.21717984931450193
81,4,0.2302416036177128
135,0,0.28212183787514983
135,1,0.2699912515828734
135,5,0.22661944395441902
135,4,0.2381194131062981
135,3,0.24796023253785696
135,-2,0.3083817993288817
135,-1,0.29446866444187747
135,2,0.25833012731529487
