trading_days_to_expiration,strike_price_order,0
13,-2,0.12907343982686711
13,-1,0.11336254901691487
13,0,0.10122998676865924
13,1,0.10489471671433875
13,2,0.11790859138152321
13,3,0.1529061153147518
33,4,0.12017813545989843
33,6,0.12534996646564808
33,-7,0.1877616048161779
33,-6,0.16578866590351307
33,-2,0.13163352099464565
33,-1,0.13329107666133885
33,1,0.12427068718436822
33,3,0.12053253128717976
33,5,0.1250311527661296
33,7,0.14401184442814005
33,8,0.16258163972871578
33,9,0.18316384337527244
33,-4,0.14768786324697675
33,0,0.12206656756106868
33,2,0.12057655352774428
33,-5,0.16656627024354065
33,-3,0.14420632009622392
98,4,0.14641192582414533
98,-7,0.19344517299859626
98,-6,0.181893311614428
98,-4,0.17217313332024517
98,-2,0.16357203208372043
98,2,0.15268073159966847
98,6,0.14371982975144693
98,0,0.15752871276583008
98,5,0.14377142199893034
98,7,0.1425550603586039
98,-5,0.18213073024432583
98,-3,0.17134413751806526
98,-1,0.1635582327754822
98,1,0.1575174623637085
98,3,0.15260244696174252
163,-1,0.18248138458204188
163,0,0.17523293021690822
163,1,0.16824240091786705
163,2,0.1636949776043929
163,3,0.15858767873270482
